"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 18 08:37:21 GMT 2025","Wed Jun 18 08:37:23 GMT 2025","1924","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com-WrongPass123!-False]",""
"passed","Wed Jun 18 08:34:20 GMT 2025","Wed Jun 18 08:35:40 GMT 2025","79862","tests","test_login","TestLoginIncorrectData","","","Check actual error messages","Тест для проверки реальных сообщений об ошибках на сайте"
"passed","Wed Jun 18 08:37:34 GMT 2025","Wed Jun 18 08:37:36 GMT 2025","2001","tests","test_login","TestLoginIncorrectData","","","test_login[admin!@example.com-Admin123!-False]",""
"passed","Wed Jun 18 08:37:26 GMT 2025","Wed Jun 18 08:37:27 GMT 2025","1833","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com-12345678-False]",""
"passed","Wed Jun 18 08:37:39 GMT 2025","Wed Jun 18 08:37:41 GMT 2025","1793","tests","test_login","TestLoginIncorrectData","","","test_login[ admin@example.com-Admin123!-False]",""
"passed","Wed Jun 18 08:37:23 GMT 2025","Wed Jun 18 08:37:25 GMT 2025","1841","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com-admin-False]",""
"passed","Wed Jun 18 08:37:32 GMT 2025","Wed Jun 18 08:37:34 GMT 2025","1907","tests","test_login","TestLoginIncorrectData","","","test_login[<script>alert('xss')</script>@example.com-Admin123!-False]",""
"passed","Wed Jun 18 08:37:37 GMT 2025","Wed Jun 18 08:37:39 GMT 2025","1899","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com-Admin!@#$%^&*()-False]",""
"passed","Wed Jun 18 08:36:22 GMT 2025","Wed Jun 18 08:36:24 GMT 2025","1909","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example-Admin123!-False]",""
"passed","Wed Jun 18 08:36:27 GMT 2025","Wed Jun 18 08:36:28 GMT 2025","1877","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example..com-Admin123!-False]",""
"passed","Wed Jun 18 08:37:41 GMT 2025","Wed Jun 18 08:37:43 GMT 2025","1808","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com -Admin123!-False]",""
"passed","Wed Jun 18 08:37:46 GMT 2025","Wed Jun 18 08:37:48 GMT 2025","1862","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com-Admin123! -False]",""
"passed","Wed Jun 18 08:36:15 GMT 2025","Wed Jun 18 08:36:17 GMT 2025","1869","tests","test_login","TestLoginIncorrectData","","","test_login[admin@-Admin123!-False]",""
"passed","Wed Jun 18 08:36:24 GMT 2025","Wed Jun 18 08:36:26 GMT 2025","1853","tests","test_login","TestLoginIncorrectData","","","test_login[admin@.com-Admin123!-False]",""
"failed","Wed Jun 18 08:36:46 GMT 2025","Wed Jun 18 08:37:03 GMT 2025","16963","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com--False]",""
"passed","Wed Jun 18 08:36:18 GMT 2025","Wed Jun 18 08:36:19 GMT 2025","1904","tests","test_login","TestLoginIncorrectData","","","test_login[@example.com-Admin123!-False]",""
"failed","Wed Jun 18 08:36:29 GMT 2025","Wed Jun 18 08:36:46 GMT 2025","16830","tests","test_login","TestLoginIncorrectData","","","test_login[-Admin123!-False]",""
"passed","Wed Jun 18 08:36:20 GMT 2025","Wed Jun 18 08:36:22 GMT 2025","1875","tests","test_login","TestLoginIncorrectData","","","test_login[admin.example.com-Admin123!-False]",""
"passed","Wed Jun 18 08:37:44 GMT 2025","Wed Jun 18 08:37:45 GMT 2025","1791","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com- Admin123!-False]",""
"passed","Wed Jun 18 08:37:28 GMT 2025","Wed Jun 18 08:37:30 GMT 2025","1728","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com' OR '1'='1-Admin123!-False]",""
"broken","Wed Jun 18 08:35:40 GMT 2025","Wed Jun 18 08:35:57 GMT 2025","16939","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com-Admin123!-True]",""
"failed","Wed Jun 18 08:37:04 GMT 2025","Wed Jun 18 08:37:21 GMT 2025","16921","tests","test_login","TestLoginIncorrectData","","","test_login[--False]",""
"passed","Wed Jun 18 08:37:30 GMT 2025","Wed Jun 18 08:37:32 GMT 2025","1874","tests","test_login","TestLoginIncorrectData","","","test_login[admin@example.com-Admin123!' OR '1'='1-False]",""
"broken","Wed Jun 18 08:35:58 GMT 2025","Wed Jun 18 08:36:15 GMT 2025","16945","tests","test_login","TestLoginIncorrectData","","","test_login[friend@example.com-Friend123!-True]",""
